,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Club,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Angel City FC,Sarah Gorden,us USA,DF,33-039,25,25,"2,183",24.3,0,0,0,0,0,0,2,0,0,0,0.3,0.3,15,105,3,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Angel City FC,Riley Tiernan,us USA,FW,22-342,25,25,"2,120",23.6,8,1,9,8,0,0,4,0,4.1,4.1,2.2,6.3,43,41,105,0.34,0.04,0.38,0.34,0.38,0.18,0.09,0.27,0.18,0.27,Matches
Angel City FC,Angelina Anderson,us USA,GK,24-214,21,21,"1,890",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Kennedy Fuller,us USA,MF,18-227,25,21,"1,818",20.2,4,3,7,4,0,0,1,0,4.3,4.3,2.5,6.8,26,83,78,0.2,0.15,0.35,0.2,0.35,0.21,0.12,0.34,0.21,0.34,Matches
Angel City FC,Gisele Thompson,us USA,DF,19-324,22,20,"1,568",17.4,1,5,6,1,0,0,1,0,1.7,1.7,1.4,3.1,55,52,90,0.06,0.29,0.34,0.06,0.34,0.1,0.08,0.18,0.1,0.18,Matches
Angel City FC,Alyssa Thompson,us USA,"FW,MF",20-349,16,16,"1,393",15.5,6,2,8,5,1,2,3,0,4.9,3.5,3.3,6.8,52,36,124,0.39,0.13,0.52,0.32,0.45,0.32,0.22,0.53,0.22,0.44,Matches
Angel City FC,Alanna Kennedy,au AUS,"MF,DF",30-274,16,16,"1,347",15,1,1,2,1,0,0,0,0,1.4,1.4,0.7,2.1,6,54,13,0.07,0.07,0.13,0.07,0.13,0.09,0.05,0.14,0.09,0.14,Matches
Angel City FC,Mary Vignola,us USA,"DF,FW",27-253,20,16,"1,337",14.9,1,2,3,1,0,0,1,0,1.5,1.5,0.6,2.1,26,62,43,0.07,0.13,0.2,0.07,0.2,0.1,0.04,0.14,0.1,0.14,Matches
Angel City FC,Miyabi Moriya,jp JPN,DF,29-061,24,12,"1,350",15,0,2,2,0,0,0,1,0,0.4,0.4,1.9,2.3,12,47,57,0,0.13,0.13,0,0.13,0.03,0.13,0.15,0.03,0.15,Matches
